pk_moves_id,fk_types_id,fk_damage_categories_id,move,description
111,9,3,sand-attack,Lowers opponent's Accuracy.
112,1,1,scratch,
113,1,3,screech,Sharply lowers opponent's Defense.
114,7,1,seismic-toss,Inflicts damage equal to user's level.
115,1,1,self-destruct,User faints.
116,1,3,sharpen,Raises user's Attack.
117,1,3,sing,Puts opponent to sleep.
118,1,1,skull-bash,"Raises Defense on first turn, attacks on second."
119,10,1,sky-attack,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
120,1,1,slam,
121,1,1,slash,High critical hit ratio.
122,5,3,sleep-powder,Puts opponent to sleep.
123,8,2,sludge,May poison opponent.
124,8,2,smog,May poison opponent.
125,1,3,smokescreen,Lowers opponent's Accuracy.
126,1,3,soft-boiled,User recovers half its max HP.
127,5,2,solar-beam,"Charges on first turn, attacks on second."
128,1,2,sonic-boom,Always inflicts 20 HP.
129,1,1,spike-cannon,Hits 2-5 times in one turn.
130,1,3,splash,Doesn't do ANYTHING.
131,5,3,spore,Puts opponent to sleep.
132,1,1,stomp,May cause flinching.
133,1,1,strength,
134,12,3,string-shot,Sharply lowers opponent's Speed.
135,1,1,struggle,Only usable when all PP are gone. Hurts the user.
136,5,3,stun-spore,Paralyzes opponent.
137,7,1,submission,User receives recoil damage.
138,1,3,substitute,Uses HP to creates a decoy that takes hits.
139,1,1,super-fang,Always takes off half of the opponent's HP.
140,1,3,supersonic,Confuses opponent.
141,3,2,surf,Hits all adjacent Pokémon.
142,1,2,swift,Ignores Accuracy and Evasiveness.
143,1,3,swords-dance,Sharply raises user's Attack.
144,1,1,tackle,
145,1,3,tail-whip,Lowers opponent's Defense.
146,1,1,take-down,User receives recoil damage.
147,11,3,teleport,Allows user to flee wild battles; also warps player to last PokéCenter.
148,1,1,thrash,User attacks for 2-3 turns but then becomes confused.
149,4,2,thunder,May paralyze opponent.
150,4,1,thunder-punch,May paralyze opponent.
151,4,2,thunder-shock,May paralyze opponent.
152,4,3,thunder-wave,Paralyzes opponent.
153,4,2,thunderbolt,May paralyze opponent.
154,8,3,toxic,Badly poisons opponent.
155,1,3,transform,User takes on the form and attacks of the opponent.
156,1,2,tri-attack,"May paralyze, burn or freeze opponent."
157,12,1,twineedle,Hits twice in one turn. May poison opponent.
158,5,1,vine-whip,
159,1,1,vise-grip,
160,3,2,water-gun,
161,3,1,waterfall,May cause flinching.
162,1,3,whirlwind,"In battles, the opponent switches. In the wild, the Pokémon runs."
163,10,1,wing-attack,
164,3,3,withdraw,Raises user's Defense.
165,1,1,wrap,"Traps opponent, damaging them for 4-5 turns."
