"pk_trainers_id","fk_games_id","fk_trainer_types_id","short_name","long_name"
845,3,19,Gentleman 1,Gentleman - S.S. Anne - 1F (Yellow)
132,2,19,Gentleman 1,Gentleman - S.S. Anne - 1F (Blue)
492,1,19,Gentleman 5,Gentleman - Vermilion City (Red)
846,3,19,Gentleman 2,Gentleman - S.S. Anne - 1F (Yellow)
135,2,19,Gentleman 4,Gentleman - S.S. Anne - 2F (Blue)
488,1,19,Gentleman 1,Gentleman - S.S. Anne - 1F (Red)
136,2,19,Gentleman 5,Gentleman - Vermilion City (Blue)
490,1,19,Gentleman 3,Gentleman - S.S. Anne - 2F (Red)
849,3,19,Gentleman 5,Gentleman - Vermilion City (Yellow)
134,2,19,Gentleman 3,Gentleman - S.S. Anne - 2F (Blue)
494,1,20,Giovanni 2,Giovanni - Silph Co. - 11F (Red)
137,2,20,Giovanni 1,Giovanni - Team Rocket Hideout - B4F (Blue)
493,1,20,Giovanni 1,Giovanni - Team Rocket Hideout - B4F (Red)
138,2,20,Giovanni 2,Giovanni - Silph Co. - 11F (Blue)
495,1,20,Giovanni 3,Giovanni - Viridian City (Red)
851,3,20,Giovanni 2,Giovanni - Silph Co. - 11F (Yellow)
139,2,20,Giovanni 3,Giovanni - Viridian City (Blue)
852,3,20,Giovanni 3,Giovanni - Viridian City (Yellow)
850,3,20,Giovanni 1,Giovanni - Team Rocket Hideout - B4F (Yellow)
142,2,21,Hiker 3,Hiker - Route 25 (Blue)
853,3,21,Hiker 1,Hiker - Mt. Moon - 1F (Yellow)
864,3,21,Hiker 13,Hiker - Rock Tunnel - B1F (Yellow)
